kode,nama_bahan_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,besi_mg,natrium_mg
CR012,Kacang hijau var. bakti kering,350,17.1,1.8,70.7,5.7,94,4.9,46
CR013,Kacang hijau var. siwalik kering,339,20.8,2.1,64.6,7.4,122,4.9,45
CR014,Kacang hijau kering,323,22.9,1.5,56.8,7.5,223,7.5,42
CP005,Kacang hijau rebus,109,8.7,0.5,18.3,1.5,95,1.5,447
CR015,Kacang hitam kering,346,16.6,1.7,66.1,22.8,70,4.7,3
CR016,Kacang kapri segar,98,6.7,0.4,17.7,6.2,22,1.9,6
CP006,Kacang kedelai goreng,521,32.2,37.7,22.9,7.6,296,6.5,3.49
CR017,Kacang kedelai kering,381,40.4,16.7,24.9,3.2,222,10,210
CP007,Kacang kedelai rebus,189,20.2,8.2,12.7,1.6,91,3.9,181
CR018,Kacang kedelai segar,286,30.2,15.6,30.1,0,196,6.9,28
CR019,Kacang kincai kering,444,19.9,16,55,0,26,0,0
CR020,Kacang komak segar,327,16.4,4.3,55.8,0.5,74,4,22
CR021,Kacang kuning kering,355,17,2.5,66,15.1,140,5.8,1
CR022,Kacang lebui iris kering,346,16.5,1.5,66.6,37.3,144,3.4,17
DR096,Kacang mekah polong segar,22,1.1,1,3.4,1.1,63,1,2
CR023,Kacang mentega kering,344,16.7,2.1,64.6,13,110,6.7,1
CP008,Kacang merah kering rebus,158,10.3,0.9,28.2,2.6,160,3.7,6
CP009,Kacang merah segar rebus,144,10,1,24.7,3.5,144,2.8,6
CR025,Kacang merah tua kering,280,16.7,1.6,63.2,4.6,209,6.4,0
CR026,Kacang merah kering,314,22.1,1.1,56.2,4,502,10.3,11
CR027,Kacang merah segar,171,11,2.2,28,2.1,293,3.7,7
CR024,Kacang merah banda kering,350,13.9,3,66.9,26.3,84,6.8,19
CP010,Kacang mete biji jambu monyet goreng,629,20.4,56.3,19.8,1.1,502,8,13
CR028,Kacang mete biji jambu monyet segar,616,16.3,48.4,28.7,0.9,26,3.8,26
CP033,Kacang negara,480,18.4,19.1,58.5,11.7,34,10.3,1.01
CR029,Kacang panjang biji kering,357,17.3,1.5,68.6,10.6,163,6.9,16
DP011,Kacang panjang kukus,39,3,0.6,7.6,1.7,100,1.2,28
DP012,Kacang panjang rebus,30,2.3,0.4,5.8,1.4,71,0.8,24
DR097,Kacang panjang segar,31,2.3,0.1,5.3,2.7,60,0.6,30
DR098,Kacang ranti polong,37,3.1,0.2,7.9,2.5,103,0.8,0
CP034,Kacang sukro,484,8.8,26.1,57.7,1.8,49,2.5,0
CP011,Kacang tanah rebus dg kulit,360,13.5,31.2,12.8,0,42,1.4,32
CR030,Kacang tanah sangan,560,29.5,43,24.1,2.9,107,4.1,34
CR031,Kacang tanah sangan tanpa selaput,559,26.9,44.2,23.6,2.6,74,1.9,33
CP035,Kacang tanah sari,561,25.5,43.8,26,2.2,50,3.1,0
CP012,Kacang tanah goreng,564,25.5,44.4,25.5,2.8,106,4.1,0
CR032,Kacang tanah kering,525,27.9,42.7,17.4,2.4,316,5.7,31
CP013,Kacang tanah rebus,220,10.6,18,8,1,89,1.9,36
CR033,Kacang tolo tunggak kering,331,24.4,1.9,56.6,1.6,481,13.9,15
CP014,Kacang tolo tunggak rebus,138,10.7,1.1,22.6,0.9,165,4,13
CR034,Kacang tunis kering,351,12.2,1.2,72.9,29.5,120,6.9,1
CR035,Kacang uci kering,358,23.4,2.4,60.6,7.4,269,0.5,13
CR036,Kacang urei kering,354,12.8,1.8,69.3,26.1,220,5.1,1
DP035,Kadada katembe,110,4.5,6.9,7.1,3.9,26,0,178
GP072,Kaholeo masakan,413,28.7,19.8,29.8,0,909,0,0
AP054,Kakicak,296,3.4,15.1,36.7,0,0,0,0
DR099,Kalakai segar,38,2.4,0.2,6.6,5.8,18,1.1,7
FP049,Kalio ayam masakan,203,16,13.5,4.4,0,278,4.2,534
FP050,Kalio jeroan masakan,163,16.5,9,4.1,0,102,7.1,570
FP051,Kalio kikil tunjang masakan,122,13.8,5.7,3.9,0,154,3.4,519
FP052,Kalio otak masakan,157,8.1,8.8,11.4,0,212,3.3,604
HP007,Kalio telur masakan,193,10.6,12.4,9.7,0,148,3.8,540
FR019,Kambing daging segar,149,16.6,9.2,0,0,11,1,96
AP055,Kambose,164,3,2.4,32.6,4.3,16,0.7,0
DR101,Kangkung tondano,43,1.8,0.2,8.4,4.3,72,0.7,30
DP013,Kangkung kukus,30,3.2,0.7,4.7,1.8,70,4.4,45
DP014,Kangkung rebus,22,2.5,0.6,3.1,1.2,50,3.5,31
DR100,Kangkung segar,28,3.4,0.7,3.9,2,67,2.3,65
DP036,Kaparende sayur,38,2.4,2,2.6,1.5,126,0,170
DR102,Kapri muda segar,45,3.3,0.2,9,1.8,51,1,2
BP032,Kapurung,41,2,0.3,7.8,2,34,0.3,185
AP056,Kapusa,158,4.4,3.2,27.8,5.3,79,1.2,104
DR103,Karawila,25,2.3,0.2,3.5,2.1,25,0.3,8
DP037,Karedok sayur,92,2.2,3.3,14.1,1.4,174,2.4,0
ER042,Kawista segar,120,3.5,2.5,20.8,4.6,190,1.6,9
NP005,Kecap,71,5.7,1.3,9,0,123,5.7,1.11
BP033,Kecimpring singkong goreng,464,1.2,18.6,73,1.3,82,3.4,0
DR104,Kecipir muda segar,32,2.9,0.2,5.8,5.5,63,0.3,3
DR105,Kecombrang segar,34,0.9,1,6.7,2.6,60,1,47
AP057,Keddo bodong,290,4.6,5.7,55.2,0,0,0,0
ER043,Kedondong masak segar,46,1,0.1,10.3,2.6,15,2.8,2
ER044,Kedondong segar,47,0.5,0.2,10.4,2.7,7,0.8,2
JP003,Keju,326,22.8,20.3,13.1,0,777,1.5,1.41
CP036,Keju kacang tanah peanut butter,590,27,49,20.9,1.6,60,2,355
ER045,Kelapa hutan kering,623,2,52.1,36.5,15.3,120,3.8,100
QR001,Kelapa muda air segar,17,0.2,0.1,3.8,0,15,0.2,1
ER046,Kelapa muda daging segar,68,1,0.9,14,0,7,1,18
KR001,Kelapa setengah tua daging segar,180,4,15,10,2.4,8,1.3,4
KR002,Kelapa tua daging segar,359,3.4,34.7,14,4.7,21,2,3
DR106,Kelawikluwih segar,118,1.5,0.3,27.2,5,28,0.9,2
AP058,Kelepon kue,215,3.7,3.7,41.8,1,232,3.3,0
FR020,Kelinci daging segar,142,16.9,7.8,0,0,7,1,49
ER047,Kemang segar,48,1,0.2,11.9,1.7,10,0.1,2
DR113,Kembang Kol,25,2.4,0.2,4.9,1.6,22,1.1,47
CP037,Kembang tahu,380,48.9,13.8,23.3,0,378,2.1,55
CP038,Kembang tahu rebus,90,10.7,4,4.7,0,85,0,0
DR107,Kembang turi segar,51,1.8,0.6,9.6,5,23,0.9,22
NR019,Kemiri,675,19,63,8,3,80,2,25
CR037,Kenari banda kering,616,13.9,56.2,13.7,0,0,1.4,11
CR038,Kenari kering,657,15,66,13,0,92,7.7,3
BR014,Kentang hitam segar,142,0.9,0.4,33.7,5.4,34,0.2,22
BR013,Kentang segar,62,2.1,0.2,13.5,0.5,63,0.7,7
GR037,Keong segar,64,12,1,2,0,217,1.7,231
JR001,Kepala susu - krim segar,204,2.6,20,4,0,97,0.1,0
GR038,Kepiting segar,151,13.8,3.8,14.1,0,210,1.1,0
GP044,Kerang asap mentah,393,38.9,13.3,29.4,0,420,8.5,160
GP045,Kerang dendeng mentah,357,41.1,10,25.6,0,217,5.2,0
GR039,Kerang segar,101,14.4,2.6,3.9,0,321,15.6,0
FR021,Kerbau daging segar,79,18.7,0.5,0,0,14,3.3,91
BP034,Keremes,475,1.6,25.2,64.4,2.1,153,1,0
AP059,Kereput,580,4.8,39.6,51.1,0,0,0,0
BR015,Keribang ubi segar,137,1.3,1.1,29.8,0.6,45,0.8,10
DP038,Keripik bayam,586,4.9,40.6,50.2,0.5,236,3.6,0
BP035,Keripik gadung,446,2.8,14.5,76,1.7,147,1.9,0
BP036,Keripik kentang,448,2.7,18.8,67.1,3.8,25,1.2,712
EP004,Keripik lampung,485,1.7,22.2,69.7,0.6,43,0.8,0
CP039,Keripik oncom,598,8.3,43.8,42.6,3.3,85,27,0
BP037,Keripik singkong,478,0.9,20.7,72,2,189,1.9,0
BP038,Keripik singkong berbumbu,481,2.2,19.7,73.6,1.6,156,1.6,0
CP040,Keripik tempe,581,12.1,40.6,41.7,2.2,237,6.9,0
CP041,Keripik tempe abadi besar,556,15.8,37.1,39.8,3.5,112,5.4,0
CP042,Keripik tempe abadi murni,542,40.3,42.4,11.6,2.2,175,5.2,0
CP045,Keripik tempe abadi prima,540,16.7,33.9,42,2.2,92,3.2,0
CP043,Keripik tempe abadi sedang,510,12.3,27.9,52.4,3.6,122,8.4,0
CP044,Keripik tempe abadi telur,529,20.8,31.7,40.2,3,124,5.4,0
BP039,Keripik ubi,486,0.2,23.9,67.6,14.3,68,0.9,52
DR108,Kerokot segar,26,1.7,0.4,3.8,1,103,3.6,4
BP040,Kerupuk cumi goreng,444,6.9,14.6,71.3,5,47,1.8,837
BP041,Kerupuk kemplang ikan mentah,325,1.8,0.4,78.5,4.5,59,2.3,1.12
BP042,Kerupuk kemplang goreng,504,5.6,28.1,57.1,0.3,50,2.9,0
BP043,Kerupuk kemplang panggang,356,9.7,1.1,76.9,1,62,2.9,0
BP044,Kerupuk mie kuning goreng,476,0.1,21.1,71.3,4.2,57,4.6,0
BP045,Kerupuk udang goreng,477,4.7,20.5,68.5,5,24,0.9,449
FP007,Kerupuk urat,588,53.7,40.9,1.2,0,36,1.3,1.02
ER048,Kesemek segar,78,0.8,0.4,20,0.6,6,0.3,0.3
AP015,Ketan hitam matang,181,4,1.2,37.3,0.3,9,1.7,9
AP017,Ketan putih matang,163,3,0.4,35.7,0.2,4,0.7,8
BR016,Ketela pohon singkong segar,154,1,0.3,36.8,0.9,77,1.1,2
BP008,Ketela pohon singkong kukus,153,1.2,0.3,36.4,1.3,56,0.4,2
DR110,Ketimun krai segar,10,0.5,0.2,2,0.6,20,1,10
DR111,Ketimun madura segar,9,0.5,0.1,1.9,0.7,15,0.6,2
DR109,Ketimun segar,8,0.2,0.2,1.4,0.3,29,0.8,2
AP060,Ketoprak,153,7.9,7.7,13,2.9,153,3.4,0
NR020,Ketumbar kering,418,14.1,16.1,54.2,12.3,630,17.9,91
AP061,Ketupat kandangan,109,2.2,5.2,13.4,0,0,0,0
AP014,Ketupat ketan,212,4,4.6,38.6,0.2,8,1,0
NR021,Kluwek,310,10,24,13.5,0,40,2,0
GR042,Kodok segar,73,16.4,0.3,0,0,18,1.1,0
ER049,Kokosan segar,86,1.6,0.2,13,1.4,22,1.3,2
DR114,Kol merah kol putih,29,1.4,0.2,5.3,1.9,46,0.5,28
CR039,Komak polong segar,99,3.3,0.1,21.2,10.3,50,13.1,15
DR112,Komak segar,99,3.3,0.1,21.2,10.3,50,13.1,15
MP009,Kopi bubuk instant,129,12.3,0.5,35,0,179,5.6,72
CR040,Koro andong kering,356,20.5,4.1,61.6,7,150,6.2,18
CR041,Koro benguk biji kering,332,24,3,55,5.6,30,2,42
CR042,Koro kerupuk biji segar,125,8.3,0.7,22.1,2.2,17,2.7,16
DR115,Koro kerupuk polong,128,8.3,0.7,22.1,0,17,2.7,0
CR043,Koro loke biji segar,33,2.7,0.2,7.9,3.5,60,2,2
CR044,Koro roay kering,344,12.5,2.1,69.4,7.5,70,4.4,18
CR045,Koro wedus biji kering,338,22.2,1.5,61,5.8,88,3.5,43
DR116,Koro wedus polong,46,3,0.3,7.9,3.3,56,1.1,2
DP039,Kotiu hinela tawang nggole,46,2.2,1.5,6,3.8,64,0,316
AP062,Koya,366,4.2,4.3,77.5,0.8,153,7,0
AP063,Koya mirasa,370,8,1,82.2,0.4,83,17,0
AP064,Koyabu,241,3.4,4.3,47.2,0,0,0,0
ER050,Kranji segar,315,2.1,1.4,73.5,0,160,3.7,0
DR118,Kucai muda Lokio segar,42,3.8,0.6,7.8,4.9,76,2.5,22
DR117,Kucai segar,45,2.2,0.3,10.3,4.8,52,1.1,21
FR022,Kuda daging segar,113,18.1,4.1,0.9,0,10,2.7,46
AP065,Kue ali,440,3.8,18.5,64.5,0.3,27,2.5,0
AP066,Kue bangen,442,3.3,14.7,74.2,0,0,0,0
BP046,Kue bangket,338,1.5,1.2,80.3,0,34,0.3,67
AP067,Kue gelang,448,5.8,16.1,70,0,0,0,0
AP068,Kue jahe,425,1.6,8.8,84.6,1.2,155,4,0
AP069,Kue kelapa,591,5.6,42.1,47.5,0,32,1.6,33
AP070,Kue koa,340,4.8,0.4,79.3,0,0,0,0
AP071,Kue ku temu,214,3.5,0.2,49.6,0,0,0,0
AP072,Kue lumpur,291,3.6,11.1,44.1,0,96,2.3,0
AP073,Kue pelita,141,5.3,5.5,17.6,0,0,0,0
AP074,Kue putu cangkir,304,5.3,7,54.9,0.9,18,4,0
BP047,Kue putu singkong,217,1.2,0.5,53.2,2.4,48,1.5,3
AP075,Kue sus,221,7.5,10.2,24.8,0,105,2.5,0
AP076,Kue thipan,247,2.9,4.2,49.5,0,16,1.8,95
DR119,Kulit melinjo,111,4.5,1.1,20.7,5,117,2.6,0
DR120,Kundur segar,22,0.4,0.2,4.7,1.3,3,0.5,2
NR022,Kunyit segar,69,2,2.7,9.1,0.6,24,3.3,6
GR043,Kura-kura segar,83,19.1,0.2,0,0,27,0.7,0
GR044,Kuro segar,87,16,2.2,1,0,75,1,0
CP046,Kwaci,515,30.6,42.1,13.8,13.6,54,6.2,124
JP004,Kwark Quark,242,19,17,3,0,300,0.5,37
DR121,Labu air segar,19,0.6,0.2,3.8,0.6,12,0.6,2
DR122,Labu kuning segar,51,1.7,0.5,10,2.7,40,0.7,280
DR123,Labu siam segar,30,0.6,0.1,6.7,6.2,14,0.5,3
DR124,Labu waluh segar,32,1.1,0.1,6.6,0.5,45,1.4,1
AP077,Laksa Putu mayang,121,1.7,3.4,21.1,0,0,0,0
CR046,Lamtoro biji muda segar,85,5.7,0.3,15.4,10.8,180,2.7,35
CR047,Lamtoro biji tua segar,148,10.6,0.5,26.2,17,155,2.2,28
CR048,Lamtoro var. gung tanpa kulit,367,46.4,5.4,32.5,2.6,136,23.3,65
CR049,Lamtoro var. lokal dengan kulit,336,23.8,1.2,59.7,15.4,867,1.5,134
ER051,Langsat segar,56,0.9,0.2,14.3,1.4,17,1.1,1
DR125,Lantar segar,34,2.2,0.3,5.5,2.9,10,0.4,3
BP048,Lanting getuk,422,0.9,10.8,80.4,1.4,206,3.6,0
AP078,Lapis legit,389,6.6,15.7,55.5,0.5,16,1.9,0
FP053,Lawar babi masakan,174,17,10,3,0,61,3,0
FP054,Lawar penyu masakan,141,23,1.5,7.6,0,69,6,0
FP055,Lawara jangang masakan,159,5,10.9,10.1,0,57,1.5,400
GP073,Lawara penjah masakan,207,7.4,15.4,9.6,0,114,5.9,683
EP005,Ledre pisang,405,4.8,5.1,84.9,0.4,59,2.6,0
DP040,Lema Rebung asam,15,1,0.4,1.9,0,17,2.9,3
KR004,Lemak babi bacon,626,9.1,65,1.1,0,13,0.8,0
KR003,Lemak babi lard,902,0,100,0,0,0,0,0
KR005,Lemak ikan,372,12,29.4,14.4,0,20,32.7,60
KR006,Lemak kerbau lemak sapi,818,1.5,90,0,0,0,0,29
ER052,Lemon segar,34,0.5,0.8,6.2,0.1,23,0.3,31
EP006,Lempog durian,320,3.5,5.7,63.7,4.9,190,2.5,0
BR017,Lepok Ubi rumput,181,2.8,1.2,39.8,10.7,7,3.1,116
DP041,Lilin bungkus gedi,79,2.3,5.2,5.8,2.5,170,0.9,170
DR126,Lobak segar,21,0.9,0.1,4.2,1.4,35,0.6,49
EP007,Loka anjoro,163,1.1,4.3,30,0,0,0,0
GR051,Lokan segar,217,11,1.7,5.1,0,20,10.9,3
ER053,Lontar segar,27,0.4,0.2,6,1.6,91,0.5,0
DR127,Lumai Leunca segar,38,1.1,0.3,7.6,2,7,1,2
AP079,Lupis ketan,164,1.8,2.1,34.5,0.7,119,1.5,0
MP010,Madu,294,0.3,0,79.5,0.2,5,0.9,6
AP019,Maizena tepung,341,0.3,0,85,7,20,1.5,6
AP020,Makaroni mentah,353,8.7,0.4,78.7,4.9,20,0.3,5
AP080,Manan samin,379,3.4,18.1,50.6,0,0,0,0
ER055,Mangga benggala segar,63,2.4,0.4,12.4,5.8,9,0.2,3
ER056,Mangga gedung segar,44,0.7,0.2,11.2,1.6,13,0.2,2
ER057,Mangga golek segar,63,0.5,0.2,16.7,2.3,14,0.7,3
ER058,Mangga harumanis segar,46,0.4,0.2,11.9,1.7,15,0.2,2
ER059,Mangga indramayu segar,72,0.8,0.2,18.7,2.5,13,1.9,3
ER060,Mangga kopek segar,56,0.4,0.2,14.6,2,16,1.7,2
ER061,Mangga kwini segar,86,0.7,0.5,19.8,6.5,11,0.2,1
ER062,Mangga manalagi segar,133,1,0.1,32.1,11.8,20,1,70
ER063,Mangga muda segar,59,0.5,0.4,15.1,0,12,0.4,2
ER054,Mangga segar,52,0.7,0,12.3,1.6,20,1,3
ER064,Manggis segar,63,0.6,0.6,15.6,1.5,8,0.8,10
KP001,Margarin,720,0.6,81,0.4,0,20,0,760
MP011,Markisa squash,217,2.5,1,49.6,0,6,0.6,14
MP012,Markisa squash BD,104,1.2,0.5,23.7,0,1,0.5,40
ER065,Markisa segar,144,3.5,1.2,29.8,11.4,27,1.4,37
AP081,Martabak india,153,4.5,4.2,24.3,0,14,2.4,240
AP082,Martabak mesir,278,5.1,8.6,45,0,49,3.4,193
AP083,Masekat,369,2.1,7,74.1,4,17,0.8,141
ER066,Matoa segar,90,1.2,0.1,21.1,0.5,20,0.6,10
MP013,Melase,276,0,0.1,71,0,6,0.6,14
CP047,Melinjo emping tebal goreng manis,439,10,16.4,65.7,0,66,0,0
CP048,Melinjo emping tebal goreng asin,431,11.1,16.2,63,0,77,0,0
CP049,Melinjo emping tipis goreng,485,11.5,24.5,59.1,0,85,0,0
DR128,Melinjo segar,66,5,0.7,13.3,0,163,2.8,0
ER067,Melon segar,37,0.6,0.4,7.8,1,12,0.4,167
FP008,Menjangan daging dendeng mentah,322,55.8,2,22.7,0,55,2.1,765
KP002,Mentega,742,0.5,81.6,1.4,0,15,1.1,653
ER068,Menteng segar,65,1.7,0.3,16.1,0,13,0.8,0
ER113,Mentimun Suri segar,16,1.3,0,2.1,0.9,768,0,0
NR023,Merica kering,365,11.5,6.8,64.4,1,460,16.4,4
AP021,Mi basah,88,0.6,3.3,14,0.1,14,6.8,63
BP049,Mi golosor,71,0.2,0.8,15.9,0.1,117,0.2,0
AP022,Mi kering,339,10,1.7,6.3,0.4,31,3.9,760
AP084,Mie aceh rebus,113,3,3.2,18.1,0,22,1.4,191
AP085,Mie ayam,102,6.2,3.9,10.5,0,262,1.8,279
AP086,Mie bakso,114,5.3,3,16.4,0.1,286,1.9,760
BP050,Mie Bendo,353,0.3,0,88,2.4,28,2.8,9
AP087,Mie celon,102,3,2.1,17.8,0,12,1.4,451
AP088,Mie pangsit basah,105,5.9,4.9,9.4,0,208,2,530
BP051,Mie Sagu,190,0.2,0.4,46.5,1.4,8,0.3,10
KR007,Minyak hiu hati,902,0,100,0,0,0,0,0
KR008,Minyak ikan,902,0,100,0,0,0,0,0
KR009,Minyak kacang tanah,902,0,100,0,0,0,0,0
KR010,Minyak kedelai,883,0,99.9,0,0,0,0,0
KR011,Minyak kelapa,870,1,98,0,0,0,0,0
KR012,Minyak kelapa sawit,884,0,100,0,0,0,0,0
KR013,Minyak wijen,881,0.2,99.7,0,0,10,0.1,2
KR014,Minyak Zaitun,884,0,100,0,0,14,1.2,7
AP023,Misoa,345,8.5,2.2,78,0.5,52,8.7,3.06
GP074,Model masakan,79,2.2,4,8.6,0,8,0.8,147
CP050,Moon tahu,128,8,10,1.3,0.2,205,2.5,393
DR129,Mostarda metan - sawi hijau,33,2.3,0.5,4.7,1.8,60,3.1,20
GP075,Mujahir acar kuning masakan,330,17.8,23.4,12.1,1.1,154,5.3,0
FP056,Naan maran sapi masakan,478,38.3,33.9,5.1,0,30,11.8,220
ER069,Nanas palembang segar,58,0.7,0.2,13.3,1.6,29,0.6,7
ER070,Nanas segar,40,0.6,0.3,9.9,0.6,22,0.9,18
ER071,Nangka masak pohon segar,106,1.2,0.3,27.6,3.7,20,0.9,2
DR130,Nangka muda segar,57,2,0.4,11.3,8.3,45,0.5,1
CR050,Nangka biji segar,165,4.2,0.1,36.7,1.8,33,1,69
AP001,Nasi,180,3,0.3,39.8,0.2,25,0.4,1
AP005,Nasi beras merah,149,2.8,0.4,32.5,0.3,6,0.8,5
AP089,Nasi gemuk,192,3.8,8.8,24.4,0.7,15,1,355
AP090,Nasi gurih,190,4.7,7.5,26,0.7,12,0.8,296
AP009,Nasi jagung,357,8.8,0.5,79.5,6.2,5,0.6,2
AP091,Nasi minyak,207,3.5,5,37.1,0.8,26,1.5,74
AP092,Nasi rames,155,10.3,4.2,19.1,0,239,1.8,265
AP002,Nasi tim,120,2.4,0.4,26,0.5,3,0.4,0
FP057,Nasu likku masakan,196,14.5,8.3,15.9,0,69,1,386
AP093,Nopia spesial,387,5.3,7.6,74.3,0.3,903,4.2,0
DP042,Olah-olah,9,2.1,6,7.1,4.4,26,1.2,289
CP051,Oncom,187,13,6,22.6,0,96,27,0
CP052,Oncom ampas kacang hijau,376,14.9,6,65.7,12.3,199,10.9,0
CP053,Oncom kacang hijau + singkong,351,11,5.3,65.9,9,164,7.8,0
CP054,Oncom kacang tanah pepes,132,12.7,3.8,13.7,3.1,133,34.4,0
AP094,Onde-onde,336,4,9.8,57.9,0,0,0,0
BP052,Ongol-ongol sagu,111,0.3,2.7,21.2,0.3,79,1.7,0
FP058,Oramu ninahu ndawa olaho masakan,117,13.7,5,4.3,0,964,2,0
BP053,Oyek,351,0.9,0.9,84.9,4.3,60,2.1,5
AP095,Padamaran,171,3.9,8.9,18.8,0,0,0,0
DP043,Paku hinela wulelenggapaya,77,3.5,4.6,5.4,3.6,63,0,469
NR024,Pala biji kering,518,7.5,36.4,40.1,3.5,120,4.6,2
ER072,Pala daging segar,42,0.3,0.2,10.9,0.5,32,1.5,0
FP059,Paniki masak santan masakan,460,28.5,35.2,7.2,0,188,5.5,2
BP054,Papeda,61,0.2,0.1,14.9,0.5,3,0.2,4
GP076,Parede baleh masakan,87,10.5,2.5,5.5,0,35,0.9,416
DP015,Paria putih kukus,16,0.8,0.2,3.4,1.2,16,0.5,4
DR131,Paria putih segar,19,1,0.4,3.6,1.3,31,0.9,5
AP096,Pastel,307,4.5,13.3,42.4,0,296,2.5,0
DP044,Pelecing kangkung,75,2.5,2.8,10,5.4,36,2.1,408
FP060,Pelolah manuk masakan,219,19.7,13.6,4.4,0,33,1.6,577
GP077,Pempek adaan,162,4.9,3,27.8,0,26,1,488
GP078,Pempek belida,156,4.2,1.4,31.6,0.2,100,3.3,0
GP079,Pempek kapal selam,152,4.5,2.3,28.2,0,19,1.6,628
GP080,Pempek kelesan,211,12.3,6.1,26.6,0.4,840,1.8,0
GP081,Pempek kulit,243,5.2,7.3,39.1,0,16,2,555
GP082,Pempek telur,156,4.7,2.7,28.3,0,13,1.3,448
GP083,Pempek tenggiri,173,7.2,1.2,33.4,0.2,164,3.1,0
GP084,Pencok lele masakan,372,7.8,36.3,3.5,0,289,5.3,0
FP066,Penyu serapah masakan,174,13.1,12.2,2.2,0,72,9.5,0
DR132,Pepare ular segar,19,0.6,0.1,3.9,1,20,0.4,130
DR133,Pepaya muda segar,29,2.1,0.1,4.9,2.1,50,0.4,22
ER073,Pepaya segar,46,0.5,12,12.2,1.6,23,1.7,4
CP019,Pepes oncom ampas tahu,76,5.2,1.8,10.6,2.2,215,12.5,0
DR134,Petai segar,92,5.4,1.1,15.2,2,14,1.6,55
DR135,Peterseli segar,53,3.7,1,9,0,193,4.3,18
NP006,Petis ikan,165,20,0.2,20.8,0,37,2.8,0
NP007,Petis udang kering,345,23.8,1.4,59.3,0,221,3.8,12
NP008,Petis udang pasta,220,15,0.9,38,2.3,37,2.8,7.98
GP085,Pinda masakan,107,15.9,0.6,0.4,0,375,1.9,526
GP086,Pindang kenari masakan,124,9.5,9.6,0,0,120,1.3,370
ER074,Pisang ambon segar,108,1,0.8,24.3,1.9,20,0.2,10
ER075,Pisang angleng pisang ampyang segar,68,1.3,0.2,17.2,0.8,10,0.6,23
ER076,Pisang ayam segar,120,1.1,0.2,26.8,4.1,20,0.4,6
ER077,Pisang gapi segar,127,2.1,0.3,31.1,11.7,0,0.3,40
ER078,Pisang goroho segar,115,1.9,0.2,27.9,4.6,0,0.2,36
ER079,Pisang hijau segar,117,2,0.3,28.9,0.4,0,0.9,31
ER080,Pisang kayu segar,100,1.4,0.5,23.6,2.6,15,0.1,1
ER081,Pisang kepok segar,109,0.8,0.5,26.3,5.7,10,0.5,10
ER082,Pisang ketip segar,145,1.1,0.3,34.5,6.6,5,0.1,4
ER083,Pisang kidang segar,96,1,0.2,22.5,0.6,87,0.6,6
ER084,Pisang lampung segar,99,1.3,0.2,25.6,4.3,10,0.9,28
ER085,Pisang mas bali ampenan segar,92,1.4,0.2,21,3.7,7,1.2,32
ER086,Pisang mas bali kopang segar,127,1.4,0.2,31.8,3.7,10,0.1,43
ER087,Pisang mas segar,127,1.4,0.2,33.6,1.4,7,0.8,42
ER088,Pisang raja sereh segar,108,1.3,0.3,28.2,0.7,16,0.1,31
ER089,Pisang raja segar,120,1.2,0.2,31.8,5.3,10,0.8,35
ER090,Pisang rotan segar,98,1.3,1.2,20.5,1,17,1.1,24
ER091,Pisang talas segar,113,1.2,0.2,26.7,4.4,22,0.6,29
ER092,Pisang tujuh bulan,94,0.6,0.2,22.5,3.7,50,0.2,0
ER093,Pisang ua segar,128,0.8,0.5,30.2,8.1,12,0.7,33
ER094,Pisang uli segar,134,1.1,0.5,35.5,1.4,31,0.9,39
DR136,Pucuk lumai daun leunca segar,33,4.5,0.4,2.8,0,13,2.9,2
AP097,Pulut,216,2.6,3.1,44.4,0,6,3.8,100
FP009,Punai daging goreng,224,26.2,11.3,4.4,0,362,3.1,2
AP098,Pundut nasi,104,1.9,4.1,15.1,0.4,26,1.5,74
DP045,Purundawa,25,1.5,0.5,3.6,1.7,147,0,239
ER095,Purut segar,76,4.1,1.1,15.2,1.7,30,0.6,10
AP99,Putri hijau,189,5.4,2.1,37.2,0,0,0,0
DR137,Putri malu segar,76,3.6,0.3,14.6,7.1,119,3.3,1
AP100,Putri selat,163,2.2,6.5,23.8,0,72,4,6
AP101,Putu sopa,215,3.3,4.1,41.1,0,0,0,0
GR063,Rajungan segar,76,12.1,2,2.4,0,721,2.2,69
ER096,Rambutan binjai segar,76,0.5,0.2,18,3.8,15,1.2,22
ER097,Rambutan segar,69,0.9,0.1,18.1,0.8,16,0.5,16
BP055,Rasbi Beras Ubi,394,2.2,8.8,76.6,6.8,68,1.6,165
BP056,Rasi Beras Singkong,350,0.9,0.4,85.7,14.4,42,1.5,8
FP061,Rawon masakan,60,5.4,2.5,4,0.3,272,3.3,0
GP046,Rebon kering mentah,299,59.4,3.6,3.2,0,2.31,21.4,0
GR064,Rebon udang kecil segar,81,16.2,1.2,0.7,0,757,2.2,169
GP047,Rebung laut mentah,320,7.2,4.2,63.3,0,240,6.6,20
DR138,Rebung segar,25,0.8,0.1,5.3,9.7,3,0.5,3
CP055,Rempeyek kacang tanah,513,17.5,32.5,44.3,1.7,65,2.6,0
CP056,Rempeyek kacang tolo,451,11.2,20.2,59.7,1.8,156,4.6,0
CP057,Rempeyek kacang uci,497,17,27.6,50.8,2.4,166,6.7,0
FP062,Rendang sapi masakan,193,22.6,7.9,7.8,0,474,14.9,0
