kode,nama_bahan_makanan,air_g,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,vit._a_mcg,beta_karoten_mcg,karotentotal_mcg,vit._b1_mg,vit._b2_mg,niasin_mg,vitamin_c_mg
HR006,Telur bebek bagian kuning segar,47,386,17,35,0.8,0,150,400,7,106,90.7,0.09,2.5,870,747,0,0.6,0.68,1.4,0
HR007,Telur bebek bagian putih segar,88,54,11,0,0.8,0,21,20,0.1,184,150.2,0.13,0.1,0,0,0,0.01,0.02,0.1,0
HP003,Telur bebek dadar masakan,55.1,301,20,23.7,0,0,71,600,9.2,0,0,0,0,122,0,613,0.35,0,0,0
HR009,Telur burung maleo segar,36,436,26.5,36.3,0.4,0,154,120,4.3,77,333,0.4,2.9,3.99,0,0,0,1,0.2,0
HR011,Telur burung puyuh segar,79.8,116,10.7,7,1.6,0,65,191,3.5,111,11,0.05,1.2,95,80,0,0.13,0.65,0.1,0
HR010,Telur penyu segar,7.4,136,8.6,10.1,2.7,0,66,282,3.4,478,115,0.5,1.4,82,17,0,0.21,0.02,0,0
CP070,Tempe bongkrek,72.5,119,4.4,3.5,18.3,0,27,100,2.6,0,0,0,0,0,0,0,0.08,0,0,0
CP071,Tempe gembus P3G,81.9,73,5.7,1.3,10.3,4.2,204,80,1.5,0,0,0,0,0,0,22,0.09,0.1,0.9,0
CP072,Tempe gembus yogya,80.7,76,6.8,0.7,10.6,5.3,76,142,16.5,0,0,0,0,0,0,0,0.79,0.01,0.1,0
CP073,Tempe kacang babi,64,139,12.5,0.8,21.9,1.8,68,182,2.6,0,0,0,0,0,0,20,0.1,0,0,0
CP074,Tempe kecipir kacang belimbing,58.2,212,17.5,10,12.9,2.9,186,160,2.2,0,0,0,0,0,0,0,0.2,0,0,0
CP075,Tempe kedelai + jagung,70.6,143,12,5.5,11.4,1.9,155,156,6.8,0,0,0,0,0,0,1.32,0.33,0.15,1.2,0
CP076,Tempe kedelai murni goreng,36.8,350,24.5,26.6,10.4,4.2,202,296,4.9,22,626.7,0.8,2.5,0,0,78,0.24,0.6,3.3,0
CP077,Tempe kedelai murni mentah,55.3,201,20.8,8.8,13.5,1.4,155,326,4,9,234,0.57,1.7,0,0,0,0.19,0.59,4.9,0
CP078,Tempe koro benguk,64,141,10.2,1.3,23.2,0,42,15,2.6,0,0,0,0,0,0,0,0.09,0,0,0
CP079,Tempe lamtoro,66.8,128,10.7,0.5,21.3,7.1,203,108,0.6,0,0,0,0,0,0,121,0.17,0,0,2
CP080,Tempe lamtoro var. gung dengan kulit,65.1,146,11.7,2.3,19.6,7.6,128,41,6.8,0,0,0,0,0,0,1.37,0.19,0,1.4,0
CP081,Tempe lamtoro var. gung tanpa kulit,67.1,131,18,0.8,13,1.3,95,154,12.4,0,0,0,0,0,0,5.9,0.2,0.02,2.6,0
CP082,Tempe pasar,68.3,150,14,7.7,9.1,1.4,517,202,1.5,7,165.9,0.4,1.2,0,0,0,0.17,0.44,3.6,0
CP083,Tempe pasar goreng,42.9,336,20,28,7.8,3.4,156,350,3,20,566.2,0.8,2.2,0,0,10,0.1,0.5,3,0
NP010,Tempoya,70.1,110,1.7,1.3,21.9,2.6,190,45,2.9,597,486.3,0,0,0,71,0,0.3,0.04,1.1,0
BP064,Tepung Arrowroot,13.6,355,0.7,0.2,85.2,0.4,8,22,1.5,2,10.7,0,0.1,0,20,3,0.09,0,0,0
AP004,Tepung beras mentah,12,353,7,0.5,80,2.4,5,140,0.8,5,241,0.1,0.8,0,0,0,0.12,0.1,1.2,0
BP065,Tepung Ganyong,13.6,353,0.8,1.7,83.6,0.7,4,31,3.3,3,63.5,0.1,0.3,0,0,0,0.02,0,0.9,1
BP066,Tepung Gaplek,13,345,2.4,0.4,83.1,6.7,18,95,1.5,6,55,0.4,1.2,0,1,0,0.3,0.2,0.1,0.2
CP084,Tepung hunkwe pati kacang ijo,10,364,4.5,1,83.5,16.1,50,100,1,15,1232.9,0.93,2.7,0,0,0,0,0.23,2.2,0
AP013,Tepung jagung putih,12,355,9.2,3.9,73.7,7.2,10,256,2.4,11,24.4,0.23,1.7,0,0,0,0.38,0.02,0.3,0
CP085,Tepung Jalejo,10,388,19,7.5,61.2,5.8,101,663,2,3,712,0.6,1.9,0,1,0.1,0.02,0.7,1.6,9
CP086,Tepung kacang kedelai,9,347,35.9,20.6,29.9,5.8,195,544,8.4,52,2522.6,4303.45,2.6,0,0,140,0.77,0.32,2.1,0
BP067,Tepung kentang kering,13,347,0.3,0.1,85.6,0.4,20,30,0.5,51,156.3,0.2,0.5,0,0,0,0.04,0,0.4,0
BP068,Tepung Mocaf,11.9,350,1.2,0.6,85,6,60,64,15.8,8,403,0.1,0.6,0,0,0,0.02,0.02,0.7,2
EP014,Tepung Pisang,13.8,338,2.9,0.4,80.6,5.3,23,62,4,18,734,0.1,0.5,0,13,1,0.02,0.02,1,2
BP069,Tepung Sente,15.3,326,4,0.4,76.7,8.5,41,141,3.5,14,1602,0.4,1.4,0,0,0,0.02,0.2,7.7,0.2
BP070,Tepung singkong Tapioka,9.1,363,1.1,0.5,88.2,0.9,84,125,1,1,7.1,0,0.1,0,0,0,0.04,0,0.4,0
EP015,Tepung Sukun,10.1,353,2.9,0.5,84.4,3.7,100,85,4.6,9,2008,0.1,0.6,0,0,0,0.4,0.02,0.1,3
BP071,Tepung Tales Beneng,12.2,332,5.7,0.6,76.1,12.2,59,302,10.7,7,1404,0.8,6.2,0,0.2,0,0.02,0.1,0.3,0.2
AP025,Tepung terigu,11.8,333,9,1,77.2,0.3,22,150,6.3,2,0,0.02,2.8,0,0,0,0.35,0.47,1,0
BP072,Tepung Ubi Ungu,9.4,354,2.8,0.6,84.4,12.9,89,125,3.9,42,940,0.8,0.6,0,0,0,0.4,0.02,0,0.2
NP011,Terasi,33.8,155,22.3,2.9,9.9,2.7,3.81,726,78.5,1.66,821.4,0.99,2.4,0,0,0,0.24,0,3.3,0
NP012,Terasi dobo,58.4,191,33.1,3.6,6.6,1.6,2.25,1.13,22.9,650,1260,2.9,5,0,0,0,3.74,0.22,2.1,0
NP013,Terasi merah,40,174,30,3.5,5.6,2.2,100,150,3.1,7.85,302.8,0.49,1.2,0,0,0,0,0.12,1.7,0
GP093,Teri balado masakan,25.8,365,23.7,22.3,17.5,0,869,348,4,0,0,0,0,27,0,1.57,0.13,0,0,0
GP050,Teripang dendeng mentah,12.5,462,39.1,32.4,3.5,0,499,616,96.4,315,402.5,0,0,2,0,144,1.37,0,5.3,0
DR155,Terong asam segar,90.5,37,2,0.4,6.3,3.2,13,59,1.5,3,155,0.3,0.3,0,97,0,0.2,0.1,0.8,4
DR158,Terong hintalo segar,89.2,45,1.9,0.8,7.5,5.1,19,268,1,167,142,0.6,0.2,0,552,0,0.2,0.4,0,4
DR154,Terong segar,92.7,28,1.1,0.2,5.5,2.1,15,37,0.4,9,187,0.1,0.1,0,46,30,0.04,0.03,0.5,5
DR156,Terung belanda segar,87.3,52,2.1,1.1,8.6,1.4,16,40,1.1,0,0,0,0,0,0,8.05,0.42,0.06,0,12
DR157,Terung bengkulu segar,86.6,52,1.1,0.4,11.2,3.2,19,39,1.1,14,0,0.16,1,0,85,600,0.23,0.04,0,6
DR159,Terung panjang,91.8,25,2.1,0.1,5.3,0.5,38,24,0.7,9,53.7,0.09,0.2,0,83,24,0.15,0.06,0.7,8
DP019,Terung panjang kukus,92.7,23,1.8,0.1,4.9,0.4,40,13,0.5,9,57,67.1,0.2,0,99,20,0,0.07,0.7,1
FP087,Tikus rica masakan,54.9,257,18.8,18.5,3.8,0,232,293,6.5,1.72,308,0.5,2.3,674,0,0,0.28,0.38,0,0
DP058,Tinira ninahu nggaluku,91.8,33,1.2,1.3,4.1,3.1,35,35,0,161,119,0.2,0.7,0,6,0,0.3,0,3.5,10
FP088,Tinoransa masakan,31.6,516,17.7,49.5,0,0,698,648,3.5,1.31,320,0.1,1.8,710,0,0,0.29,0.17,0,0
AP110,Tipa-tipa,11.3,355,6.2,1.2,79.8,1.3,17,328,1.6,0,0,0,0,0,0,0,0.26,0.04,1.5,0
BP073,Tiwul,11.2,353,2.4,1.1,83.4,6.5,55,95,4.7,5,670,0.2,0.8,0,0,0,0.02,0.02,0.1,3
BP074,Tiwul Instan,9.1,395,3.2,8.5,76.5,4.2,81,81,5.8,377,469,2.1,1.2,0,0,0,0.4,0.2,0.2,4
DR161,Tomat merah segar,92.9,24,1.3,0.5,4.7,0,8,77,0.6,10,164.9,0.14,0.2,0,575,2.08,0.06,0.07,0.4,34
DR162,Tomat muda segar,93,24,2,0.7,3.3,1.8,5,27,0.5,10,210,0.07,0.2,0,384,320,0.07,0.04,0.7,30
DR160,Tomat air sari segar,94,20,1,0.2,3.5,0.4,7,15,0.4,10,225.2,0.06,0.1,0,266,600,0.05,0.03,0.7,10
GP094,Tumis bandeng,70.5,189,11.3,15.7,0.6,0,56,129,0.4,314,280,0.1,0.7,579,0,0,0.46,0.02,0,0
DP059,Tumis bayam bersantan,91.2,48,1.4,4.2,2.6,0.5,129,27,0.8,0,0,0,0,0,0,2.99,0.01,0,0,22
GP095,Tumis keumamah,45.7,300,14.5,20,15.5,4.5,0,0,0,0,0,0,0,0,8,0,0.63,0.04,0,7
BP075,Ubi Cilembu,52.7,186,1.9,0.2,44.3,3.4,37,51,0.6,62,61.9,0.1,0.2,0,26,0,0.02,0.2,0,0.3
BR029,Ubi jalar manis segar,78.4,83,1.5,0.2,18.8,0.6,27,162,2.1,52,320.7,0.1,0.3,0,0,0,0.02,0,0.4,0
BR030,Ubi jalar merah segar,61.9,151,1.6,0.3,35.4,0.7,29,74,0.7,92,565.6,0.3,0.5,0,0,1.21,0.13,0.08,0.7,11
BR031,Ubi jalar putih segar,77.8,88,0.4,0.4,20.6,4,30,10,0.5,2,4,0.1,0.2,0,13,264,0.25,0.06,0.5,36
BR032,Ubi jalar tinta kemayung,72.5,108,0.5,0.4,25.6,4.2,30,40,0.5,1,1,0.1,0.2,0,13,0,0.09,0.06,0.6,24
BP012,Ubi jalar tinta kemayung kukus,58.5,165,0.9,0.2,39.8,1.1,20,23,0.8,1,0.9,0.1,0.2,0,0,0,0.02,0.1,0.5,0
BP011,Ubi jalar kuning kukus,74.2,100,0.7,0.3,23.8,1,44,46,0.4,3,0.8,0.1,0.2,0,819,4.43,0,0.1,0.6,16
BR028,Ubi jalar kuning segar,72.6,119,0.5,0.4,25.1,4.2,30,40,0.4,3,1,0.1,0.2,0,794,4.95,0.06,0.07,0.7,0
DR163,Uceng bunga melinjo segar,79.5,82,5.8,1.3,11.7,4.8,70,266,2.4,0,0,0,0,0,0,58,0.11,0.15,0,3
GR083,Udang galah segar,79,81,16.5,0.3,3,0,87,167,0.7,95,132,0.7,1.2,0,3,0,0.24,0.03,2.9,0
GP051,Udang kering mentah,14.9,278,62.6,4.1,2.2,0,760,510,5.2,540,360,2.4,3.2,39,0,0,0,0,0.1,0
GP052,Udang papay mentah,24.5,273,47.8,3.8,12.5,0,1.11,789,2.4,651,802,2.6,10.8,0,0,0,0,0,0,0
GR082,Udang besar segar,85.5,56,11.4,0.6,1.2,0,30,20,0.3,190,210,0.4,0.8,0,0.1,0,0.14,0,0.1,0
GR084,Udang segar,75,91,21,0.2,0.1,0,136,170,8,178,222.4,0.3,1.3,18,4,0,0.01,0.4,3.7,0
FR034,Ulat sagu segar,65.9,241,5.8,21.6,5.8,2.8,20,70,0.5,210,210,1,7.7,0,0,0,0.17,1.45,0.1,0
FP020,Ulat sagu panggang,41.3,380,11.9,30.3,14.9,4.8,30,120,1.5,260,550,3.1,14.2,0,0,0,0.5,2.5,0.1,0
BP076,Uli batatas,66.5,150,1.1,4,27.4,0,0,23,0.1,6,112,0.1,0.2,0,0,0,0.53,0,1.3,0
BR033,Umbi Uwi segar,69.7,120,2.8,0.5,82.3,2.6,9,42,1.3,412,412,0.3,0.6,0,0,0,0.02,0.5,0.2,4
DR164,Umbut kelapa segar,89.3,39,2,0.2,7.2,2.5,57,49,0,4,447,0.2,1.4,0,16,0,0.1,0.1,0,8
DR165,Umbut rotan,90.5,34,2.4,0.3,5.5,2.2,89,79,1.3,8,552,0.2,1.9,0,14,0,0.2,0,0,9
ER111,Vigus segar,88,44,2.4,0.1,8.3,0,30,20,0.3,2,180,0.1,0.2,0,0,0,0.26,0.01,0,43
AP111,Wajit camilan,27.1,303,6.3,2.7,63.3,6.9,61,302,5.5,0,0,0,0,0,0,0,0.03,0,0,0
DP060,Waluh balamak,89.4,45,0.8,0.9,8.1,7.9,25,25,0.5,61,15,0,0.2,0,1.24,0,0.2,0,0.1,2
ER112,Wani segar,81.2,74,0.8,0.3,17.1,3.1,66,29,1.2,0,0,0,0,0,0,32,0.08,0,0,80
AP112,Widaran,7,424,1.3,10.7,80.7,0.2,49,88,2.5,0,0,0,0,21,0,440,0.13,0.2,2.2,0
CR052,Wijen mentah,5.8,568,19.3,51.1,18.1,3.6,1.13,614,9.5,18,303.7,4.16,7.9,0,15,0,0.93,0.2,5.7,0
AP113,Wingko babat,29.7,355,3.2,15.1,51.4,2.4,47,63,1.1,0,0,0,0,0,0,0,0.08,0.08,0,0
DP061,Woku ubi,73,143,3.1,7.8,15,7,195,91,2.8,353,256,0.3,1,0,1.52,0,0.1,0,0,15
DP021,Wortel kukus,89.5,37,1,0.6,8.3,1.1,44,30,0.6,43,122.5,0.11,0.3,0,3.99,7.15,0.02,0.03,0.8,14
DP020,Wortel rebus,92.1,28,0.7,0.5,6.3,0.8,46,28,0.6,41,117.3,0.1,0.2,0,3.82,5.4,0.01,0.03,0.7,12
DR166,Wortel segar,89.9,36,1,0.6,7.9,1,45,74,1,70,245,0.06,0.3,0,3.78,7.13,0.04,0.04,1,18
AP114,Yangko,37.4,254,3,1.1,58.1,0.8,184,24,2.6,0,0,0,0,0,0,96,0.15,0,0,0
JP011,Yoghurt segar,88,52,3.3,2.5,4,0,120,90,0.1,40,299,0.01,0.6,22,10,0,0.04,0.1,0.2,0
