kode,nama_bahan_makanan,air_g,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,vit._a_mcg,beta_karoten_mcg,karotentotal_mcg,vit._b1_mg,vit._b2_mg,niasin_mg,vitamin_c_mg
ER058,Mangga harumanis segar,86.6,46,0.4,0.2,11.9,1.7,15,9,0.2,2,88.9,0.04,0.1,0,120,1.2,0.08,0.01,0.3,6
ER059,Mangga indramayu segar,80.2,72,0.8,0.2,18.7,2.5,13,10,1.9,3,131.4,0.06,0.1,0,178,2.9,0.06,0.02,0.5,16
ER060,Mangga kopek segar,84.5,56,0.4,0.2,14.6,2,16,10,1.7,2,102.9,0.04,0.1,0,139,6.52,0.03,0.01,0.4,27
ER061,Mangga kwini segar,78.6,86,0.7,0.5,19.8,6.5,11,11,0.2,1,16,0.1,0.1,0,932,0,0.15,0.02,0.5,18
ER062,Mangga manalagi segar,66.5,133,1,0.1,32.1,11.8,20,23,1,70,161,0,0,0,4,0,0.07,0,0.6,61
ER063,Mangga muda segar,83.7,59,0.5,0.4,15.1,0,12,11,0.4,2,108.2,0.05,0.1,0,146,85,0.06,0.02,0.4,2
ER054,Mangga segar,86.6,52,0.7,0,12.3,1.6,20,16,1,3,140,0.33,0,0,316,0,0.03,0.01,0.3,12
ER064,Manggis segar,83,63,0.6,0.6,15.6,1.5,8,12,0.8,10,61.9,0.1,0.1,0,0,0,0.03,0.03,0.3,5
KP001,Margarin,15.5,720,0.6,81,0.4,0,20,16,0,760,25.9,0,0,606,633,0,0,0,0,0
MP011,Markisa squash,46.7,217,2.5,1,49.6,0,6,83,0.6,14,65,0,0.1,0,23,75,0.07,0.02,0,14
MP012,Markisa squash BD,74.4,104,1.2,0.5,23.7,0,1,88,0.5,40,40,0,0.1,0,7,40,0.2,0.02,0,12
ER065,Markisa segar,64.7,144,3.5,1.2,29.8,11.4,27,203,1.4,37,453.8,0.11,0.1,0,969,691,0.02,0.17,2,10
AP081,Martabak india,65.8,153,4.5,4.2,24.3,0,14,108,2.4,240,112,0.4,0.5,0,0,0,0,0,0,0
AP082,Martabak mesir,40.2,278,5.1,8.6,45,0,49,168,3.4,193,123,0.2,0.9,0,0,0,0,0,0,0
AP083,Masekat,15.6,369,2.1,7,74.1,4,17,52,0.8,141,12,0.4,0.3,155,0,0,0,0,0,0
ER066,Matoa segar,76.5,90,1.2,0.1,21.1,0.5,20,40,0.6,10,190,0.3,0.6,0,2,0,0.18,0.09,0.5,54
MP013,Melase,21.2,276,0,0.1,71,0,6,83,0.6,14,0,0,0.3,0,0,0,0.04,0,0,0
CP047,Melinjo emping tebal goreng manis,5.6,439,10,16.4,65.7,0,66,225,0,0,0,0,0,0,0,0,0.1,0,0,0
CP048,Melinjo emping tebal goreng asin,8,431,11.1,16.2,63,0,77,0,0,0,0,0,0,0,0,0,0.08,0,0,0
CP049,Melinjo emping tipis goreng,3.3,485,11.5,24.5,59.1,0,85,218,0,0,0,0,0,0,0,0,0.11,0,0,0
DR128,Melinjo segar,80,66,5,0.7,13.3,0,163,75,2.8,0,0,0,0,0,0,1,0.1,0,0,100
ER067,Melon segar,90.8,37,0.6,0.4,7.8,1,12,14,0.4,167,167,0.3,0.1,0,1,0,0.02,0.1,0,0.2
FP008,Menjangan daging dendeng mentah,14.3,322,55.8,2,22.7,0,55,310,2.1,765,1282,1.7,3.2,3.39,26,0,0,0,0,0
KP002,Mentega,16,742,0.5,81.6,1.4,0,15,16,1.1,653,103,0,0.4,1,155,0,0,0.1,0,0
ER068,Menteng segar,79,65,1.7,0.3,16.1,0,13,20,0.8,0,0,0,0,0,0,0,0,0,0,0
ER113,Mentimun Suri segar,96.3,16,1.3,0,2.1,0.9,768,422,0,0,1008,0,0,0,0,0,0,0,0,25
NR023,Merica kering,12.9,365,11.5,6.8,64.4,1,460,200,16.4,4,99.7,0.89,1.1,0,0.3,0,0.2,0.1,2.5,0
AP021,Mi basah,80,88,0.6,3.3,14,0.1,14,13,6.8,63,13.5,0.06,0.4,0,0,0,0,0,0,0
BP049,Mi golosor,82.9,71,0.2,0.8,15.9,0.1,117,5,0.2,0,0,0,0,0,0,112,0.05,0.02,0,0
AP022,Mi kering,10.6,339,10,1.7,6.3,0.4,31,143,3.9,760,83,0.29,1.9,0,0,0,0,0.08,2.2,0
AP084,Mie aceh rebus,74.6,113,3,3.2,18.1,0,22,44,1.4,191,36,0.2,0.3,0,0,0,0,0,0,0
AP085,Mie ayam,78.6,102,6.2,3.9,10.5,0,262,51,1.8,279,0,0,0,39,0,166,0.85,0,0,0
AP086,Mie bakso,74.5,114,5.3,3,16.4,0.1,286,53,1.9,760,0,0,0,17,0,180,0.16,0,0,0
BP050,Mie Bendo,11.5,353,0.3,0,88,2.4,28,14,2.8,9,49.2,0.5,0.1,0,2,0,0.02,0,0.1,0.2
AP087,Mie celon,75.9,102,3,2.1,17.8,0,12,84,1.4,451,112,0.1,0.5,0,0,0,0,0,0,0
AP088,Mie pangsit basah,79.2,105,5.9,4.9,9.4,0,208,48,2,530,0,0,0,25,0,620,0.46,0,0,0
BP051,Mie Sagu,52.8,190,0.2,0.4,46.5,1.4,8,7,0.3,10,2.6,0.1,0,0,2,0,0,0.4,0,0.2
KR007,Minyak hiu hati,0,902,0,100,0,0,0,0,0,0,0,0,0,21.21,0,0,0,0,0,0
KR008,Minyak ikan,0,902,0,100,0,0,0,0,0,0,0,0,0,24.24,0,0,0,0,0,0
KR009,Minyak kacang tanah,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR010,Minyak kedelai,0.1,883,0,99.9,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
KR011,Minyak kelapa,0,870,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR012,Minyak kelapa sawit,0,884,0,100,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0
KR013,Minyak wijen,0.1,881,0.2,99.7,0,0,10,5,0.1,2,20,0,0,0,0,0,0.01,0.07,0.1,0
KR014,Minyak Zaitun,0,884,0,100,0,0,14,0,1.2,7,0,0,0,0,0,0,0,0,5,0
AP023,Misoa,10,345,8.5,2.2,78,0.5,52,120,8.7,3.06,44,0.08,0,0,0,0,0,0.02,0.2,0
GP074,Model masakan,83.9,79,2.2,4,8.6,0,8,33,0.8,147,34,0.1,0.5,0,0,0,0.16,0.02,0,0
CP050,Moon tahu,79.9,128,8,10,1.3,0.2,205,92,2.5,393,0,0,0,131,0,5.3,0.46,0,0,0
DR129,Mostarda metan - sawi hijau,91.4,33,2.3,0.5,4.7,1.8,60,30,3.1,20,100,0.1,0.4,0,1.58,0,0.2,0.1,0.1,12
GP075,Mujahir acar kuning masakan,43.1,330,17.8,23.4,12.1,1.1,154,357,5.3,0,0,0,0,24,0,4.13,0.15,0,0,0
FP056,Naan maran sapi masakan,14.8,478,38.3,33.9,5.1,0,30,390,11.8,220,320,0.6,3.9,33,0,0,0,0,0.2,0
ER069,Nanas palembang segar,85.5,58,0.7,0.2,13.3,1.6,29,15,0.6,7,117,0.03,0.1,0,17,0,0.26,0.03,0.2,11
ER070,Nanas segar,88.9,40,0.6,0.3,9.9,0.6,22,14,0.9,18,111,0.03,0.1,0,17,90,0.02,0.04,0.2,22
ER071,Nangka masak pohon segar,70,106,1.2,0.3,27.6,3.7,20,19,0.9,2,407,246.58,1.4,0,149,330,0.07,0.1,1,7
DR130,Nangka muda segar,85.4,57,2,0.4,11.3,8.3,45,29,0.5,1,246.5,0.04,0.1,0,21,25,0.07,0.06,0.7,9
CR050,Nangka biji segar,57.7,165,4.2,0.1,36.7,1.8,33,200,1,69,179,0.12,0.2,0,0,0,0.2,0.03,1.4,10
AP001,Nasi,56.7,180,3,0.3,39.8,0.2,25,27,0.4,1,38,0.1,0.6,0,0,0,0.05,0.1,2.6,0
AP005,Nasi beras merah,64,149,2.8,0.4,32.5,0.3,6,63,0.8,5,91.4,0.2,0.9,0,0,0,0.06,0,1.6,0
AP089,Nasi gemuk,61.4,192,3.8,8.8,24.4,0.7,15,74,1,355,63,0.2,1.4,0,0,0,0.19,0.05,2,0
AP090,Nasi gurih,60.5,190,4.7,7.5,26,0.7,12,62,0.8,296,52,0.2,1.2,0,0,0,0.11,0.06,2.1,0
AP009,Nasi jagung,11,357,8.8,0.5,79.5,6.2,5,43,0.6,2,30.4,0.1,0.3,0,0,0,0.3,0.02,0.1,0.2
AP091,Nasi minyak,53.3,207,3.5,5,37.1,0.8,26,100,1.5,74,174,0.2,2.2,0,0,0,0.14,0.07,2.6,0
AP092,Nasi rames,65.8,155,10.3,4.2,19.1,0,239,62,1.8,265,0,0,0,96,0,3.14,0.59,0,0,0
AP002,Nasi tim,71,120,2.4,0.4,26,0.5,3,7,0.4,0,23.9,0.1,0.4,0,0,0,0.1,0,1.4,0
